teff,fe_h
5022.327,0.1076019
4744.333,0.06293897
4918.498,0.007553784
4416.71,0.1771206
5209.528,-0.1223182
4562.846,-0.04901466
4550.323,0.1722734
5032.748,-0.02565887
4758.964,0.228247
4932.943,-0.2584141
5101.009,0.02242831
5002.321,-0.1502854
4718.256,0.01353863
5036.917,0.1567094
4943.842,0.1835119
5016.25,0.005012502
4913.822,0.2152034
4502.409,-0.1604336
5033.694,0.1056353
4767.02,-0.3704385
4487.907,0.1168908
4641.289,0.1333189
4867.707,0.006510023
4416.646,0.01603669
5039.247,0.005072801
5028.878,0.05950347
4986.844,-0.2011626
4668.979,0.1784418
4683.074,-0.06233727
4017.17,-0.1104384
5064.354,-0.5315894
4735.896,0.154518
4503.109,0.02002395
4336.234,0.1063115
4998.733,-0.2232915
4777.527,-0.1750205
4998.134,-0.01499833
4597.998,-0.1222605
4951.148,-0.001099786
4490.837,0.09468341
5069.606,-1.067104
4557.809,0.251462
4578.01,-0.515099
4957.421,0.05511425
4630.127,0.1733895
4808.599,0.0007853716
4568.584,0.3169316
4584.095,0.1771949
4867.647,0.1640189
4884.65,0.2561809
4436.832,0.0350468
4677.854,0.1917552
4952.273,-0.1037945
4495.121,0.1736361
4994.766,0.2125464
4979.769,-0.1266914
4883.249,-0.2294987
4766.888,0.2619661
5043.389,-0.4586869
4011.619,-0.1176775
4870.187,-0.2132863
4420.727,-0.5257992
4769.783,0.1912461
4555.421,-0.08526547
5022.705,0.1884335
4533.752,0.03338492
5056.798,0.1918231
5059.424,-0.01622793
5009.164,0.2205661
3955.198,0.120501
4515.296,0.276953
4725.726,-0.08488805
4991.095,-0.02862442
4552.457,0.3679666
4991.175,0.2693503
5048.496,0.09609639
5069.532,0.06604791
5037.425,0.07233407
4651.514,-0.1446095
4572.53,0.01579512
4802.905,0.03078534
4244.006,0.2260256
4997.318,0.06959841
5012.142,-0.2802622
4612.66,-0.0006423541
4566.147,0.120114
4971.361,-0.1752671
4597.563,-0.1417962
4824.937,0.2190095
4727.938,0.1236859
4793.183,0.1239052
4973.488,0.1406472
5102.148,0.03620986
5033.834,-0.2832931
4764.646,0.2720776
4661.418,-0.7559444
4557.896,0.1377653
4959.059,-0.265708
4029.263,-0.06974656
4070.61,-0.1158984
3891.449,0.005699785
4672.765,0.3448644
4528.788,0.134582
5176.793,-1.985433
3841.373,-0.4176727
4536.541,-0.2235742
4365.335,-0.08875801
5012.949,0.1717875
4661.78,-0.08874246
4662.578,0.2325718
4806.247,0.2022749
3816.163,-0.5815031
4730.139,0.2892374
3662.113,0.2124404
3648.29,-0.4103819
3658.102,0.1954209
3906.109,-0.5559996
4275.018,-1.129216
3722.035,0.2773431
4588.877,0.2790069
3798.486,-0.4317366
3793.65,-0.02135496
3711.794,-0.08545879
4204.795,0.3065914
3823.454,0.3119317
3949.757,-0.9297374
4090.948,0.2319105
3709.832,0.02476383
4423.793,0.4303307
4833.895,0.004797533
